Id,Date (UTC),Description,Amount,Foreign Amount,Foreign Currency,Foreign Exchange Rate,Type,Card ID,Last 4,Card Expiry Month,Card Expiry Year,Authorization Date (UTC),Card Name,Card Group Name,Virtual Account ID,Virtual Account Name,Account Type,Order Id,Reference Number,Decline Reason,Status,Memo,External Description,Receiver ID,Note
"tx_sample_01",2026-08-26 04:50:16PM,"TM *TICKETMASTER",-205.89,205.89,"USD",1,"card_authorization","c_sample01","1891","06","2031",,"Mirror 163","Mirror August 2026","subaccount_sample","Primary account","Credit",,,,"pending",,,,
"tx_sample_02",2026-08-26 02:11:10PM,"TM *TICKETMASTER",-117,117,"USD",1,"card_authorization","c_sample01","1891","06","2031",,"Mirror 163","Mirror August 2026","subaccount_sample","Primary account","Credit",,,,"pending",,,,
"tx_sample_03",2026-08-26 04:45:52PM,"TM *TICKETMASTER",-205.89,205.89,"USD",1,"card_authorization","c_sample02","8679","01","2031",,"Mirror 122","Mirror August 2026","subaccount_sample","Primary account","Credit",,,,"pending",,,,
"tx_sample_04",2026-08-26 02:47:39PM,"TM RESALE 800-842-7112",-349.87,349.87,"USD",1,"card_authorization","c_sample03","9175","05","2029",,"TradeDesk",,"subaccount_sample","Primary account","Credit",,,,"pending",,,,
"tx_sample_05",2026-08-26 02:02:40AM,"TM *TICKETMASTER",-80.08,80.08,"USD",1,"card_decline","c_sample04","3477","11","2029",,"Mirror 118","Mirror August 2026","subaccount_sample","Primary account","Credit",,,"an incorrect CVV was entered","declined",,,,
"tx_sample_06",2026-08-26 09:57:01AM,"TM *TICKETMASTER",-609.9,609.9,"USD",1,"card_settlement","c_sample05","4123","02","2029",2026-08-26 02:20:43AM,"Ye",,"subaccount_sample","Primary account","Credit","483098368559346627","070599",,"settled",,,,
"tx_sample_07",2026-08-26 05:19:30PM,"TM *TICKETMASTER",-404.5,404.5,"USD",1,"card_authorization","c_sample06","8411","10","2031",,"Robo",,"subaccount_sample","Primary account","Credit",,,,"reversed",,,,
"tx_sample_08",2026-08-26 03:36:14PM,"SEATGEEK TICKETS",-265.28,265.28,"USD",1,"card_settlement","c_sample07","2961","01","2028",2026-08-26 02:30:56PM,"SG house",,"subaccount_sample","Primary account","Credit","8a019e0fdee84769b87e9","755535",,"settled",,,,
"tx_sample_09",2026-08-26 05:28:02PM,"TM *TICKETMASTER",-142.8,142.8,"USD",1,"card_authorization","c_sample08","8917","04","2031",,"Mirror 128","Mirror August 2026","subaccount_sample","Primary account","Credit",,,,"pending",,,,
"tx_sample_10",2026-08-26 05:29:58PM,"TM *TICKETMASTER",-121.3,121.3,"USD",1,"card_authorization","c_sample09","7848","12","2030",,"New Cards 80","New Ticketmaster","subaccount_sample","Primary account","Credit",,,,"pending",,,,
"tx_sample_11",2026-08-26 05:27:13PM,"TM *TICKETMASTER",-647.6,647.6,"USD",1,"card_authorization","c_sample10","4474","05","2030",,"New Cards 64","New Ticketmaster","subaccount_sample","Primary account","Credit",,,,"pending",,,,
"tx_sample_12",2026-08-26 11:04:22AM,"TM *TICKETMASTER",85,85,"USD",1,"card_settlement","c_sample01","1891","06","2031",2026-08-25 08:11:02PM,"Mirror 163","Mirror August 2026","subaccount_sample","Primary account","Credit","483054405924207460","784754",,"settled","refund for cancelled event",,,
